type,beds,baths,garage,lot_sqft,sqft,stories,listPrice,age_range
single_family,4.0,4.0,1.0,5615.0,3000.0,2.0,750000.0,67 - 100
single_family,4.0,3.0,2.0,6566.0,2900.0,2.0,499900.0,100 - 134
single_family,4.0,2.0,3.0,5375.0,1170.0,2.0,325600.0,67 - 100
single_family,4.0,3.0,2.0,6138.0,2511.0,2.0,620000.0,67 - 100
single_family,4.0,4.0,2.0,8476.0,2870.0,3.0,850000.0,100 - 134
single_family,4.0,3.0,2.0,3811.0,2800.0,2.0,599000.0,100 - 134
single_family,5.0,5.0,2.0,3125.0,4200.0,2.0,1500000.0,0 - 33
single_family,2.0,2.0,2.0,3775.0,1637.0,2.0,110000.0,67 - 100
single_family,3.0,3.0,2.0,4375.0,2600.0,1.0,599990.0,67 - 100
single_family,4.0,2.0,2.0,3149.0,3150.0,2.0,399900.0,67 - 100
single_family,3.0,3.0,2.0,6970.0,2117.0,2.0,324999.0,100 - 134
single_family,4.0,3.0,2.0,8500.0,1984.0,2.0,624900.0,100 - 134
single_family,4.0,5.0,2.0,3751.0,1550.0,2.0,1150000.0,0 - 33
single_family,2.0,2.0,2.0,3750.0,1800.0,2.0,249900.0,33 - 67
single_family,3.0,4.0,2.0,3125.0,1550.0,2.0,899000.0,100 - 134
single_family,4.0,4.0,2.0,8390.0,4632.0,2.0,1075000.0,33 - 67
multi_family,5.0,2.0,2.0,3660.0,1550.0,2.0,559000.0,100 - 134
single_family,5.0,4.0,2.0,8650.0,4557.0,2.0,1350000.0,67 - 100
single_family,5.0,4.0,2.0,9845.0,3489.0,2.0,674900.0,67 - 100
single_family,6.0,11.0,3.0,25975.0,25000.0,3.0,23500000.0,0 - 33
multi_family,7.0,5.0,2.0,2900.0,1550.0,2.0,244400.0,0 - 33
condos,3.0,2.0,2.0,3751.0,1550.0,4.0,49900.0,0 - 33
townhomes,2.0,1.0,2.0,3751.0,1000.0,2.0,34900.0,33 - 67
single_family,3.0,2.0,2.0,5924.0,1567.0,2.0,215000.0,67 - 100
single_family,3.0,4.0,1.0,7841.0,1904.0,2.0,825000.0,67 - 100
single_family,5.0,2.0,2.0,3049.0,1700.0,2.0,219900.0,100 - 134
single_family,3.0,2.0,1.0,6874.0,1360.0,2.0,249999.0,100 - 134
single_family,5.0,5.0,2.0,11748.0,6000.0,2.0,649000.0,33 - 67
single_family,3.0,3.0,2.0,3751.0,1550.0,1.0,399900.0,67 - 100
single_family,4.0,1.0,2.0,3751.0,1100.0,2.0,250000.0,134 - 168
single_family,4.0,2.0,1.0,3500.0,3900.0,2.0,425000.0,100 - 134
single_family,3.0,2.0,2.0,3125.0,2200.0,2.0,319000.0,33 - 67
single_family,4.0,4.0,2.0,2657.0,3896.0,2.0,1875000.0,0 - 33
single_family,4.0,2.0,2.0,4125.0,1400.0,2.0,339900.0,67 - 100
single_family,5.0,3.0,2.0,3750.0,2100.0,2.0,625000.0,67 - 100
single_family,3.0,3.0,1.0,3751.0,1800.0,2.0,349900.0,100 - 134
single_family,7.0,3.0,2.0,3751.0,2352.0,2.0,115000.0,134 - 168
single_family,3.0,3.0,1.0,3485.0,2250.0,2.0,384500.0,33 - 67
single_family,5.0,4.0,2.0,3125.0,1550.0,3.0,1650000.0,67 - 100
