type,beds,baths,garage,lot_sqft,sqft,stories,listPrice,age_range
5,4,4,1,5615.0,3000.0,2,750000.0,4
5,4,3,2,6566.0,2900.0,2,499900.0,1
5,4,2,3,5375.0,1170.0,2,325600.0,4
5,4,3,2,6138.0,2511.0,2,620000.0,4
5,4,4,2,8476.0,2870.0,3,850000.0,1
5,4,3,2,3811.0,2800.0,2,599000.0,1
5,5,5,2,3125.0,4200.0,2,1500000.0,0
5,2,2,2,3775.0,1637.0,2,110000.0,4
5,3,3,2,4375.0,2600.0,1,599990.0,4
5,4,2,2,3149.0,3150.0,2,399900.0,4
5,3,3,2,6970.0,2117.0,2,324999.0,1
5,4,3,2,8500.0,1984.0,2,624900.0,1
5,4,5,2,3751.0,1550.0,2,1150000.0,0
5,2,2,2,3750.0,1800.0,2,249900.0,3
5,3,4,2,3125.0,1550.0,2,899000.0,1
5,4,4,2,8390.0,4632.0,2,1075000.0,3
4,5,2,2,3660.0,1550.0,2,559000.0,1
5,5,4,2,8650.0,4557.0,2,1350000.0,4
5,5,4,2,9845.0,3489.0,2,674900.0,4
5,6,11,3,25975.0,25000.0,3,23500000.0,0
4,7,5,2,2900.0,1550.0,2,244400.0,0
1,3,2,2,3751.0,1550.0,4,49900.0,0
6,2,1,2,3751.0,1000.0,2,34900.0,3
5,3,2,2,5924.0,1567.0,2,215000.0,4
5,3,4,1,7841.0,1904.0,2,825000.0,4
5,5,2,2,3049.0,1700.0,2,219900.0,1
5,3,2,1,6874.0,1360.0,2,249999.0,1
5,5,5,2,11748.0,6000.0,2,649000.0,3
5,3,3,2,3751.0,1550.0,1,399900.0,4
5,4,1,2,3751.0,1100.0,2,250000.0,2
5,4,2,1,3500.0,3900.0,2,425000.0,1
5,3,2,2,3125.0,2200.0,2,319000.0,3
5,4,4,2,2657.0,3896.0,2,1875000.0,0
5,4,2,2,4125.0,1400.0,2,339900.0,4
5,5,3,2,3750.0,2100.0,2,625000.0,4
5,3,3,1,3751.0,1800.0,2,349900.0,1
5,7,3,2,3751.0,2352.0,2,115000.0,2
5,3,3,1,3485.0,2250.0,2,384500.0,3
5,5,4,2,3125.0,1550.0,3,1650000.0,4
5,3,3,2,3751.0,2527.0,1,354999.0,3
5,4,3,2,3123.0,1680.0,2,620000.0,1
5,4,6,2,1664.0,4000.0,3,2049000.0,0
5,4,2,1,3750.0,1240.0,2,224900.0,3
5,2,2,1,3751.0,1053.0,1,199900.0,4
5,2,2,2,3751.0,2200.0,2,265000.0,1
5,3,1,2,3751.0,1200.0,1,145000.0,4
5,4,4,2,3123.0,2725.0,3,965000.0,0
4,5,7,2,3751.0,1550.0,2,2699999.0,1
5,4,2,2,3750.0,1550.0,2,285000.0,4
5,5,2,2,3751.0,1848.0,2,199999.0,1
5,2,2,2,3751.0,1550.0,2,410000.0,1
5,3,2,2,3125.0,1500.0,3,750000.0,2
5,2,1,1,3500.0,1000.0,1,195000.0,1
5,3,2,2,4182.0,1628.0,2,279900.0,1
5,3,1,2,3780.0,2093.0,2,535000.0,1
5,4,2,2,3750.0,2100.0,3,925000.0,1
5,5,3,2,3180.0,1980.0,3,850000.0,2
5,3,1,2,3751.0,1020.0,1,24000.0,3
5,4,1,2,3149.0,1600.0,2,179900.0,4
5,3,2,2,3751.0,1292.0,2,299900.0,4
5,2,2,2,3093.0,893.0,1,275000.0,3
5,2,2,1,4373.0,1335.0,1,459900.0,4
5,4,2,2,2880.0,714.0,2,129900.0,1
5,4,3,2,3125.0,3125.0,2,529000.0,1
5,3,2,2,3780.0,1008.0,1,319000.0,4
5,4,2,2,3750.0,1319.0,2,250000.0,4
5,4,3,2,3125.0,1716.0,2,620000.0,4
5,3,2,2,3750.0,1060.0,1,335000.0,4
1,2,2,2,3751.0,1225.0,2,465000.0,3
5,3,1,2,3750.0,1127.0,2,190000.0,1
1,2,1,2,3751.0,1200.0,1,280000.0,1
4,8,4,2,3125.0,1550.0,2,649900.0,2
5,1,1,2,3751.0,905.0,3,112000.0,1
4,8,3,2,3485.0,3850.0,2,799900.0,1
5,2,1,2,3125.0,968.0,1,345000.0,3
1,3,3,1,3751.0,1550.0,3,725000.0,1
5,2,2,2,3125.0,2200.0,2,599000.0,0
5,1,0,2,4374.0,1300.0,1,450000.0,1
1,3,2,2,3751.0,1600.0,1,350000.0,4
4,6,5,2,3485.0,1550.0,2,549000.0,3
5,3,3,2,3751.0,2889.0,2,824000.0,0
5,3,2,2,6970.0,1348.0,2,199900.0,3
5,4,2,2,3125.0,977.0,2,129900.0,4
1,1,1,2,3751.0,1550.0,5,375000.0,1
1,3,3,1,3751.0,2615.0,4,1199999.0,0
1,3,2,2,3751.0,1550.0,4,949000.0,0
1,2,1,1,3751.0,1400.0,3,399000.0,4
4,4,2,2,3485.0,1550.0,2,575000.0,1
1,2,2,1,3751.0,1200.0,3,285000.0,0
1,2,2,2,3751.0,1550.0,3,315000.0,1
4,9,6,2,3125.0,1550.0,2,949000.0,0
1,3,3,2,3751.0,2283.0,3,498000.0,0
1,2,2,1,3751.0,1550.0,3,710000.0,0
1,3,3,2,3751.0,1550.0,3,699900.0,0
1,2,2,2,3751.0,950.0,3,260000.0,1
1,2,1,2,3751.0,1550.0,3,345000.0,1
1,3,3,2,3751.0,2000.0,1,360000.0,4
1,2,1,2,6200.0,942.0,3,289900.0,4
1,2,3,2,3751.0,2167.0,4,899000.0,4
1,1,1,36,3751.0,1550.0,7,329900.0,0
1,3,2,1,3751.0,1550.0,3,765000.0,0
1,4,3,1,3751.0,2300.0,4,965000.0,0
1,3,2,2,3751.0,1550.0,3,525000.0,1
1,2,2,2,3751.0,780.0,3,299900.0,4
1,2,2,2,3751.0,1200.0,4,229900.0,4
4,5,3,2,4375.0,1550.0,2,559000.0,1
1,2,2,2,3751.0,1200.0,1,249900.0,0
1,4,4,1,3751.0,4400.0,4,2450000.0,0
6,3,3,2,1586.0,3200.0,3,1150000.0,0
1,4,3,3,3751.0,1550.0,4,1450000.0,0
6,3,3,2,3751.0,2382.0,4,649900.0,0
1,3,2,2,3751.0,1400.0,3,204900.0,1
1,3,3,1,3751.0,2340.0,3,975000.0,0
4,6,2,2,3751.0,1550.0,2,649900.0,2
1,2,2,1,3751.0,1550.0,3,735000.0,0
4,5,2,2,3485.0,1550.0,2,284900.0,1
1,3,2,2,3751.0,1600.0,3,469000.0,1
6,2,2,1,2142.0,992.0,2,219900.0,4
1,3,3,2,3751.0,2300.0,4,325000.0,1
1,4,5,1,3751.0,4000.0,4,1599000.0,0
6,4,5,1,3751.0,3800.0,4,1050000.0,3
4,6,3,2,6098.0,3000.0,2,600000.0,1
1,2,2,1,3751.0,1116.0,3,450000.0,1
4,4,2,2,2698.0,1550.0,2,699900.0,1
1,2,1,1,3751.0,900.0,1,335000.0,3
1,2,2,2,3751.0,1350.0,4,629000.0,4
1,3,4,2,3751.0,4500.0,12,1495000.0,1
1,2,2,1,3751.0,1200.0,3,389000.0,0
1,2,1,2,3751.0,1550.0,4,385000.0,1
4,6,2,2,3751.0,1550.0,2,265000.0,1
4,8,5,2,2616.0,1550.0,2,1229900.0,4
1,3,2,1,3751.0,1550.0,4,635000.0,0
1,3,2,2,3751.0,2000.0,3,450000.0,4
1,3,3,2,3751.0,1850.0,4,600000.0,0
1,2,2,2,3751.0,1000.0,3,175000.0,4
1,3,3,1,3751.0,1700.0,4,850000.0,0
1,1,1,2,3751.0,1550.0,2,155000.0,3
1,2,2,2,3751.0,1296.0,3,397999.0,0
1,2,2,2,3751.0,1200.0,3,259999.0,0
4,7,3,2,2475.0,1550.0,2,694995.0,2
1,3,2,1,3751.0,1800.0,4,885000.0,0
4,5,2,2,2614.0,1550.0,2,171000.0,1
4,7,3,2,3125.0,1550.0,2,410000.0,1
1,1,1,2,3751.0,800.0,3,145900.0,3
1,2,2,2,3751.0,1000.0,3,325000.0,1
4,5,2,2,3125.0,1550.0,2,288000.0,1
4,6,3,2,3125.0,1550.0,2,510000.0,1
1,1,1,1,3751.0,1000.0,4,409900.0,1
1,1,1,1,3751.0,1550.0,10,295000.0,1
1,0,1,2,3751.0,505.0,10,149900.0,1
1,2,2,1,3751.0,1359.0,7,400000.0,0
1,2,2,1,3751.0,1200.0,28,180000.0,3
1,2,2,2,3751.0,1217.0,4,450000.0,1
1,1,1,1,3751.0,1550.0,6,399900.0,0
1,2,1,2,3751.0,900.0,3,215000.0,4
1,2,2,1,3751.0,1425.0,57,464000.0,3
1,4,2,2,3751.0,1600.0,3,475000.0,4
1,1,1,2,3751.0,1550.0,3,140000.0,4
1,1,1,2,3751.0,750.0,3,139000.0,3
1,2,2,2,3751.0,1600.0,4,389900.0,4
1,2,2,2,3751.0,1550.0,6,214900.0,3
1,2,1,1,3751.0,980.0,4,319000.0,0
1,2,1,2,3751.0,1550.0,4,134900.0,3
1,2,1,2,3751.0,1550.0,3,319500.0,4
4,6,3,2,3751.0,1550.0,2,299000.0,4
1,2,1,2,3751.0,1550.0,3,199900.0,4
1,2,1,1,3751.0,1039.0,10,399000.0,0
1,1,1,1,3751.0,1550.0,35,280000.0,0
1,1,2,1,3751.0,1470.0,66,575000.0,3
1,2,2,1,3751.0,1175.0,16,445000.0,0
6,3,3,2,1984.0,1670.0,2,469000.0,0
1,1,1,2,3751.0,725.0,60,339000.0,3
1,0,1,1,3751.0,1550.0,59,209900.0,0
1,1,1,1,3751.0,1100.0,70,410000.0,3
1,1,1,1,3751.0,800.0,40,249900.0,3
1,4,4,1,3751.0,2400.0,3,1169000.0,0
1,1,1,1,3751.0,750.0,23,245000.0,4
1,1,1,1,3751.0,735.0,26,200000.0,3
1,1,1,2,3751.0,860.0,45,365000.0,0
1,1,1,2,3751.0,1550.0,46,260000.0,0
1,1,1,1,3751.0,1550.0,22,275000.0,0
1,1,1,2,3751.0,1550.0,16,189000.0,4
1,2,3,2,3751.0,1550.0,28,590000.0,3
1,3,2,1,3751.0,1611.0,57,724900.0,0
1,2,2,1,3751.0,1100.0,30,500000.0,3
1,1,1,1,3751.0,864.0,24,265000.0,0
1,2,2,1,3751.0,1762.0,45,398000.0,3
1,2,2,1,3751.0,1550.0,7,387500.0,0
1,1,1,1,3751.0,1550.0,7,249900.0,4
1,1,1,1,3751.0,680.0,54,229000.0,3
5,4,3,2,3125.0,2800.0,2,790000.0,0
1,2,1,2,3751.0,1000.0,14,75900.0,3
1,3,3,1,3751.0,1758.0,57,1100000.0,0
1,1,2,1,3751.0,1550.0,8,250000.0,0
1,3,3,1,3751.0,2096.0,55,950000.0,0
1,2,2,1,3751.0,1299.0,12,650000.0,0
1,2,2,1,3751.0,1550.0,29,325000.0,3
1,2,2,2,3751.0,1395.0,10,685000.0,0
1,2,2,1,3751.0,1150.0,57,325000.0,3
1,2,2,1,3751.0,1400.0,40,549900.0,3
1,1,1,1,3751.0,925.0,28,177500.0,3
1,0,1,1,3751.0,500.0,28,169900.0,3
1,2,2,1,3751.0,1550.0,27,449900.0,0
1,1,1,1,3751.0,860.0,19,199900.0,3
1,1,2,1,3751.0,890.0,15,325000.0,0
1,1,1,1,3751.0,850.0,30,165000.0,3
1,2,2,2,3751.0,1400.0,10,370000.0,1
4,6,3,2,3900.0,1550.0,2,275000.0,4
3,3,2,2,2250.0,1550.0,2,90000.0,0
4,8,0,2,3751.0,1550.0,2,424900.0,1
1,2,1,2,3751.0,1550.0,2,249000.0,4
1,2,2,2,3751.0,1700.0,29,399900.0,4
5,3,2,2,3751.0,1550.0,2,29000.0,3
1,1,1,2,3751.0,1550.0,3,249900.0,4
5,3,2,2,3751.0,1320.0,2,269999.0,4
5,3,2,2,6200.0,2026.0,2,495000.0,4
6,3,2,1,3750.0,1233.0,2,93000.0,1
4,9,6,2,3729.0,1550.0,2,233000.0,4
5,5,5,2,12502.0,4724.0,2,949873.0,4
5,3,1,2,5560.0,1127.0,1,249000.0,4
1,3,2,2,3751.0,1800.0,4,625000.0,1
5,4,3,2,3125.0,1360.0,2,160000.0,1
1,2,2,2,3751.0,1550.0,1,495000.0,3
5,3,2,2,3750.0,1100.0,2,240000.0,4
5,3,2,1,5244.0,1622.0,1,264500.0,3
5,3,2,2,4687.0,1224.0,2,185000.0,3
